model,number_sold
Tesla Model Y,193454
Tesla Model 3,107932
Ford Mustang Mach-E,27140
Chevrolet Bolt EV/EUV,24828
Volkswagen ID.4,16742
Nissan Leaf,14328
Audi e-tron,10891
Porsche Taycan,9419
other cars sold,30145
